data_shape,primary_engine,variation,composite_helper,canonical_link,questions
Intervals / Geometry / Coordinates,Bit / Mask,Subset mask state,None,Canonical: Bitmask subset DP,1
Number / Bit / Math,Greedy,Sort-then-greedy,+ Sorting + Math,Canonical: Merge Intervals / scheduling greedy,1
Number / Bit / Math,Hash Map,Direct keyed lookup,+ Greedy Check,Canonical: Direct lookup dictionary,1
Number / Bit / Math,Hash Map,Direct keyed lookup,+ Greedy Check + Math,Canonical: Direct lookup dictionary,1
Number / Bit / Math,Hash Map,Direct keyed lookup,+ Intervals/Geometry,Canonical: Direct lookup dictionary,1
Number / Bit / Math,Hash Map,Direct keyed lookup,+ Queue/Deque,Canonical: Direct lookup dictionary,1
Number / Bit / Math,Hash Map,Direct keyed lookup,+ Sorting + Bitmask + Tree,Canonical: Direct lookup dictionary,1
Number / Bit / Math,Hash Map,Direct keyed lookup,+ String Parsing,Canonical: Direct lookup dictionary,1
Number / Bit / Math,Hash Map,Direct keyed lookup,+ Tree,Canonical: Direct lookup dictionary,1
Number / Bit / Math,Fenwick / Sparse Table,Fenwick prefix aggregate,+ Tree + Segment/Fenwick,Canonical: Fenwick tree / Binary Lifting,1
Number / Bit / Math,Fenwick / Sparse Table,Power-of-two jump table,+ Segment/Fenwick + Math,Canonical: Fenwick tree / Binary Lifting,1
Number / Bit / Math,Geometry,Geometric reasoning,+ Math,Canonical: Geometry / sweep / convex-hull family,1
Number / Bit / Math,Greedy,Local-choice optimization,+ Counting,Canonical: Gas Station / local-choice greedy,1
Number / Bit / Math,Greedy,Local-choice optimization,+ Graph + Math,Canonical: Gas Station / local-choice greedy,1
Number / Bit / Math,Greedy,Local-choice optimization,+ Hash Map,Canonical: Gas Station / local-choice greedy,1
Number / Bit / Math,Greedy,Local-choice optimization,+ Sorting,Canonical: Gas Station / local-choice greedy,1
Number / Bit / Math,Greedy,Local-choice optimization,+ Sorting + Intervals/Geometry,Canonical: Gas Station / local-choice greedy,1
Number / Bit / Math,Heap,Top-K / best-first selection,+ Sorting + Greedy Check,Canonical: Top K Frequent Elements / merge-k,1
Number / Bit / Math,Math / Number Theory,Formula / constructive math,+ Bitmask + Tree + Segment/Fenwick,Canonical: Mathematical invariant,1
Number / Bit / Math,Math / Number Theory,Formula / constructive math,+ Counting,Canonical: Mathematical invariant,1
Number / Bit / Math,Math / Number Theory,Formula / constructive math,+ Prefix/Suffix,Canonical: Mathematical invariant,1
Number / Bit / Math,Math / Number Theory,Parity / algebraic invariant,+ Counting,Canonical: Mathematical invariant,1
Number / Bit / Math,Monotonic Stack,Next-greater / monotonic boundary stack,+ Counting + Math,Canonical: Daily Temperatures / Largest Rectangle,1
Number / Bit / Math,Monotonic Stack,Next-greater / monotonic boundary stack,+ Graph,Canonical: Daily Temperatures / Largest Rectangle,1
Number / Bit / Math,Monotonic Stack,Next-greater / monotonic boundary stack,+ Greedy Check + Math,Canonical: Daily Temperatures / Largest Rectangle,1
Number / Bit / Math,Heap,Priority-based selection,+ Hash Map + Hash Set,Canonical: Top K Frequent Elements / merge-k,1
Number / Bit / Math,Heap,Priority-based selection,+ Hash Set,Canonical: Top K Frequent Elements / merge-k,1
Number / Bit / Math,Heap,Priority-based selection,+ Prefix/Suffix,Canonical: Top K Frequent Elements / merge-k,1
Number / Bit / Math,Heap,Priority-based selection,+ Prefix/Suffix + Greedy Check,Canonical: Top K Frequent Elements / merge-k,1
Number / Bit / Math,Heap,Priority-based selection,+ Sorting,Canonical: Top K Frequent Elements / merge-k,1
Number / Bit / Math,Heap,Priority-based selection,+ Sorting + Math,Canonical: Top K Frequent Elements / merge-k,1
Number / Bit / Math,Heap,Top-K / best-first selection,+ Queue/Deque,Canonical: Top K Frequent Elements / merge-k,1
Number / Bit / Math,Heap,Top-K / best-first selection,+ Sorting,Canonical: Top K Frequent Elements / merge-k,1
Number / Bit / Math,Hash Map,Frequency dictionary,+ Counting + Tree,Canonical: Group Anagrams / frequency map,1
Number / Bit / Math,Hash Map,Frequency dictionary,+ Hash Set + Counting,Canonical: Group Anagrams / frequency map,1
Number / Bit / Math,Hash Set,Uniqueness / seen-set check,+ Bitmask + Math,Canonical: Contains Duplicate / seen-set uniqueness,1
Number / Bit / Math,Hash Set,Uniqueness / seen-set check,+ Counting,Canonical: Contains Duplicate / seen-set uniqueness,1
Number / Bit / Math,Hash Set,Uniqueness / seen-set check,+ Counting + Bitmask + Tree,Canonical: Contains Duplicate / seen-set uniqueness,1
Number / Bit / Math,Hash Set,Uniqueness / seen-set check,+ String Parsing,Canonical: Contains Duplicate / seen-set uniqueness,1
Number / Bit / Math,Heap,Dual-heap balancing,+ Sorting + Queue/Deque + Tree,Canonical: Find Median from Data Stream,1
Number / Bit / Math,Heap,Priority-based selection,+ Counting,Canonical: Top K Frequent Elements / merge-k,1
Intervals / Geometry / Coordinates,Custom Exact Technique,Exact custom / named technique,+ Prefix/Suffix + Bitmask + Tree,Canonical: Exact custom named technique,1
Intervals / Geometry / Coordinates,Custom Exact Technique,Exact custom / named technique,+ Queue/Deque,Canonical: Exact custom named technique,1
Intervals / Geometry / Coordinates,Divide and Conquer,Recursive split / combine,+ Tree,Canonical: Merge-sort / recursive split-combine,1
Intervals / Geometry / Coordinates,Dynamic Programming,1D DP,None,Canonical: Climbing Stairs / House Robber,1
Intervals / Geometry / Coordinates,Dynamic Programming,2D DP,None,Canonical: Edit Distance / Grid DP,1
Number / Bit / Math,Hash Map,Frequency dictionary,+ Counting + Math,Canonical: Group Anagrams / frequency map,1
Number / Bit / Math,Hash Map,Frequency dictionary,+ Counting + Sorting + Greedy Check,Canonical: Group Anagrams / frequency map,1
Number / Bit / Math,Hash Map,Frequency dictionary,+ Counting + Sorting + Queue/Deque,Canonical: Group Anagrams / frequency map,1
Graph / Network,Union-Find,Connectivity / component merging,+ Bitmask,Canonical: Number of Connected Components / Redundant Connection,1
Graph / Network,Union-Find,Connectivity / component merging,+ Grid,Canonical: Number of Connected Components / Redundant Connection,1
Graph / Network,Union-Find,Connectivity / component merging,+ Hash Map,Canonical: Number of Connected Components / Redundant Connection,1
Graph / Network,Union-Find,Connectivity / component merging,+ Hash Set + Math,Canonical: Number of Connected Components / Redundant Connection,1
Number / Bit / Math,Prefix / Suffix Precompute,Range-sum precompute,+ Sorting + Math,Canonical: Range Sum Query,1
Number / Bit / Math,Prefix / Suffix Precompute,Range-sum precompute,+ Tree + Math,Canonical: Range Sum Query,1
Number / Bit / Math,Queue / Deque,Deque-backed range/window state,+ Greedy Check,Canonical: Sliding Window Maximum,1
Number / Bit / Math,Queue / Deque,Deque-backed range/window state,+ Prefix/Suffix,Canonical: Sliding Window Maximum,1
Graph / Network,Shortest Path / Flow,Weighted shortest path,+ Stack,Canonical: Network Delay Time,1
Graph / Network,Shortest Path / Flow,Weighted shortest path,+ Tree,Canonical: Network Delay Time,1
Graph / Network,Simulation / Scan / Precompute,Direct simulation / scan,None,Canonical: Direct simulation,1
Graph / Network,Sliding Window,Fixed-size window,None,Canonical: Fixed-size subarray window,1
Graph / Network,Sliding Window,Variable-size window,None,Canonical: Minimum Window / variable-size window,1
Graph / Network,Stack,LIFO state maintenance,+ Prefix/Suffix + Greedy Check,Canonical: Valid Parentheses,1
Graph / Network,Two Pointers,Boundary / pointer sweep,+ Prefix/Suffix + Greedy Check,Canonical: Two Sum II / Container With Most Water,1
Graph / Network,Union-Find,Connectivity + component size,+ Hash Map,Canonical: Number of Connected Components / Redundant Connection,1
Number / Bit / Math,Prefix / Suffix Precompute,Range-sum precompute,+ Counting + Math,Canonical: Range Sum Query,1
Number / Bit / Math,Prefix / Suffix Precompute,Range-sum precompute,+ Hash Map + Intervals/Geometry,Canonical: Range Sum Query,1
Number / Bit / Math,Prefix / Suffix Precompute,Range-sum precompute,+ Hash Set + Greedy Check,Canonical: Range Sum Query,1
Graph / Network,Shortest Path / Flow,Weighted shortest path,+ Bitmask + Grid,Canonical: Network Delay Time,1
Graph / Network,Shortest Path / Flow,Weighted shortest path,+ Counting,Canonical: Network Delay Time,1
Graph / Network,Shortest Path / Flow,Weighted shortest path,+ Heap + Memoization,Canonical: Network Delay Time,1
Graph / Network,Shortest Path / Flow,Weighted shortest path,+ Prefix/Suffix + Greedy Check,Canonical: Network Delay Time,1
Graph / Network,Shortest Path / Flow,Weighted shortest path,+ Queue/Deque,Canonical: Network Delay Time,1
Number / Bit / Math,Monotonic Stack,Next-greater / monotonic boundary stack,+ Heap,Canonical: Daily Temperatures / Largest Rectangle,1
Number / Bit / Math,Monotonic Stack,Next-greater / monotonic boundary stack,+ Math,Canonical: Daily Temperatures / Largest Rectangle,1
Number / Bit / Math,Monotonic Stack,Next-greater / monotonic boundary stack,+ Prefix/Suffix + Greedy Check,Canonical: Daily Temperatures / Largest Rectangle,1
Number / Bit / Math,Prefix / Suffix Precompute,Difference-array accumulation,+ Greedy Check,Canonical: Prefix/Suffix extrema accumulation,1
Number / Bit / Math,Prefix / Suffix Precompute,Difference-array accumulation,None,Canonical: Prefix/Suffix extrema accumulation,1
Number / Bit / Math,Prefix / Suffix Precompute,Prefix/suffix extrema or counts,+ Counting + Bitmask,Canonical: Prefix/Suffix extrema accumulation,1
Number / Bit / Math,Prefix / Suffix Precompute,Prefix/suffix extrema or counts,+ Hash Map + Counting + Bitmask,Canonical: Prefix/Suffix extrema accumulation,1
Number / Bit / Math,Prefix / Suffix Precompute,Range-sum precompute,+ Counting,Canonical: Range Sum Query,1
Graph / Network,Monotonic Stack,Next-greater / monotonic boundary stack,+ Hash Map + Counting,Canonical: Daily Temperatures / Largest Rectangle,1
Graph / Network,Prefix / Suffix Precompute,Difference-array accumulation,None,Canonical: Prefix/Suffix extrema accumulation,1
Graph / Network,Prefix / Suffix Precompute,Range-sum precompute,+ Math,Canonical: Range Sum Query,1
Graph / Network,Shortest Path / Flow,0-1 shortest path,+ Queue/Deque,Canonical: Network Delay Time,1
Graph / Network,Shortest Path / Flow,All-pairs shortest path,+ Bitmask,Canonical: Weighted shortest path,1
Graph / Network,Shortest Path / Flow,All-pairs shortest path,+ Trie,Canonical: Weighted shortest path,1
Graph / Network,Shortest Path / Flow,Flow / matching,+ Hash Set,Canonical: Bipartite matching / flow,1
Graph / Network,Shortest Path / Flow,Weighted graph optimization,+ Hash Map,Canonical: Weighted shortest path,1
Graph / Network,Graph,General graph modeling,+ Sorting,Canonical: General graph construction,1
Graph / Network,Greedy,Local-choice optimization,+ Sorting,Canonical: Gas Station / local-choice greedy,1
Graph / Network,Hash Set,Uniqueness / seen-set check,+ Counting + Graph,Canonical: Contains Duplicate / seen-set uniqueness,1
Graph / Network,Hash Set,Visited-state membership,None,Canonical: Contains Duplicate / seen-set uniqueness,1
Graph / Network,Heap,Priority-based selection,+ Greedy Check,Canonical: Top K Frequent Elements / merge-k,1
Graph / Network,Heap,Priority-based selection,+ Stack,Canonical: Top K Frequent Elements / merge-k,1
Graph / Network,Matrix / Grid,Grid / board traversal,+ Math,Canonical: Grid traversal / DP scan,1
Graph / Network,Monotonic Stack,Next-greater / monotonic boundary stack,+ Counting + Greedy Check,Canonical: Daily Temperatures / Largest Rectangle,1
Number / Bit / Math,Simulation / Scan / Precompute,State-tracking simulation,+ Queue/Deque,Canonical: Direct simulation,1
Number / Bit / Math,Simulation / Scan / Precompute,State-tracking simulation,+ Tree + Segment/Fenwick,Canonical: Direct simulation,1
Number / Bit / Math,Sliding Window,Fixed-size window,+ Hash Map,Canonical: Fixed-size subarray window,1
Number / Bit / Math,Sliding Window,Fixed-size window,+ Hash Map + Counting,Canonical: Fixed-size subarray window,1
Number / Bit / Math,Sliding Window,Variable-size + frequency/uniqueness control,+ Hash Map + Sorting,Canonical: Longest Substring Without Repeating Characters,1
Number / Bit / Math,Sliding Window,Variable-size window,+ Counting + Tree + Segment/Fenwick,Canonical: Minimum Window / variable-size window,1
Number / Bit / Math,Sliding Window,Variable-size window,+ Hash Map + Prefix/Suffix,Canonical: Minimum Window / variable-size window,1
Graph / Network,Geometry,Coordinate transform / distance geometry,+ Math,Canonical: Geometry / sweep / convex-hull family,1
Number / Bit / Math,Queue / Deque,Deque-backed range/window state,+ String Parsing,Canonical: Sliding Window Maximum,1
Number / Bit / Math,Segment Tree,Range query / update tree,+ Greedy Check + Tree + Segment/Fenwick,Canonical: Range query / update segment tree,1
Number / Bit / Math,Segment Tree,Range query / update tree,+ Hash Map + Greedy Check + Tree,Canonical: Range query / update segment tree,1
Number / Bit / Math,Simulation / Scan / Precompute,Deterministic state machine,None,Canonical: DFA / parser-style scan,1
Number / Bit / Math,Simulation / Scan / Precompute,Direct simulation / scan,+ Graph + Math,Canonical: Direct simulation,1
Number / Bit / Math,Simulation / Scan / Precompute,Precompute + lookup,None,Canonical: Precompute then query,1
Number / Bit / Math,Simulation / Scan / Precompute,Single-pass scan,+ Counting + Prefix/Suffix,Canonical: Linear scan with running state,1
Number / Bit / Math,Simulation / Scan / Precompute,State-tracking simulation,+ Memoization,Canonical: Direct simulation,1
Object / Process / API,Design / Process / JS,Closure / scope behavior,+ Hash Map + Heap + Memoization,Canonical: Closure / scope behavior,1
Object / Process / API,Design / Process / JS,Closure / scope behavior,+ Math,Canonical: Closure / scope behavior,1
Object / Process / API,Design / Process / JS,Generator / iterator protocol,+ Math,Canonical: API / object-behavior design,1
Object / Process / API,Design / Process / JS,Object / API behavior,+ Hash Map,Canonical: Time-limited cache / LRU-style design,1
Object / Process / API,Design / Process / JS,Object / API behavior,+ Heap + Memoization,Canonical: API / object-behavior design,1
Object / Process / API,Design / Process / JS,Object / API behavior,+ Memoization,Canonical: API / object-behavior design,1
Object / Process / API,Design / Process / JS,Object / API behavior,+ Stack + Queue/Deque,Canonical: API / object-behavior design,1
Object / Process / API,Design / Process / JS,Object / API behavior,+ Trie,Canonical: API / object-behavior design,1
Number / Bit / Math,Two Pointers,Boundary / pointer sweep,+ Bitmask,Canonical: Two Sum II / Container With Most Water,1
Number / Bit / Math,Two Pointers,Boundary / pointer sweep,+ Counting,Canonical: Two Sum II / Container With Most Water,1
Number / Bit / Math,Two Pointers,Boundary / pointer sweep,+ Counting + Greedy Check,Canonical: Two Sum II / Container With Most Water,1
Number / Bit / Math,Two Pointers,Boundary / pointer sweep,+ Hash Map,Canonical: Two Sum II / Container With Most Water,1
Number / Bit / Math,Two Pointers,Boundary / pointer sweep,+ Hash Map + Counting,Canonical: Two Sum II / Container With Most Water,1
Number / Bit / Math,Two Pointers,Boundary / pointer sweep,+ Hash Set + Sorting,Canonical: Two Sum II / Container With Most Water,1
Number / Bit / Math,Two Pointers,Boundary / pointer sweep,+ Prefix/Suffix + Greedy Check,Canonical: Two Sum II / Container With Most Water,1
Object / Process / API,Design / Process / JS,Closure / scope behavior,+ Hash Map,Canonical: Closure / scope behavior,1
Number / Bit / Math,Sliding Window,Variable-size window,+ String Parsing,Canonical: Minimum Window / variable-size window,1
Number / Bit / Math,Sorting / Sweep,Order-then-scan,+ Bitmask,Canonical: Sort then scan,1
Number / Bit / Math,Sorting / Sweep,Order-then-scan,+ Counting + Bitmask,Canonical: Sort then scan,1
Number / Bit / Math,Sorting / Sweep,Order-then-scan,+ Graph,Canonical: Sort then scan,1
Number / Bit / Math,Stack,Dual-stack transfer / evaluation,None,Canonical: Valid Parentheses,1
Number / Bit / Math,Stack,LIFO state maintenance,+ Greedy Check,Canonical: Valid Parentheses,1
Number / Bit / Math,Stack,LIFO state maintenance,+ Hash Map,Canonical: Valid Parentheses,1
Number / Bit / Math,Stack,LIFO state maintenance,+ Math,Canonical: Valid Parentheses,1
Graph / Network,Shortest Path / Flow,Weighted graph optimization,+ Hash Set + Queue/Deque,Canonical: Weighted shortest path,1
Number / Bit / Math,Sliding Window,Variable-size window,+ Intervals/Geometry,Canonical: Minimum Window / variable-size window,1
Number / Bit / Math,Sliding Window,Variable-size window,+ Prefix/Suffix,Canonical: Minimum Window / variable-size window,1
Number / Bit / Math,Sliding Window,Variable-size window,+ Prefix/Suffix + Greedy Check,Canonical: Minimum Window / variable-size window,1
Number / Bit / Math,Sliding Window,Variable-size window,+ Queue/Deque,Canonical: Minimum Window / variable-size window,1
Number / Bit / Math,Sliding Window,Variable-size window,+ Sorting,Canonical: Minimum Window / variable-size window,1
Number / Bit / Math,Sliding Window,Variable-size window,+ Sorting + Greedy Check,Canonical: Minimum Window / variable-size window,1
Number / Bit / Math,Sliding Window,Variable-size window,+ Sorting + Prefix/Suffix,Canonical: Minimum Window / variable-size window,1
Graph / Network,DFS,Depth-first traversal,+ Hash Map + Tree,Canonical: Depth-first component exploration,1
Graph / Network,DFS,Memoized DFS,+ Sorting,Canonical: Depth-first component exploration,1
Graph / Network,Dynamic Programming,2D DP,+ Prefix/Suffix,Canonical: Edit Distance / Grid DP,1
Graph / Network,Dynamic Programming,2D DP,None,Canonical: Edit Distance / Grid DP,1
Graph / Network,Dynamic Programming,Bitmask DP,+ Bitmask,Canonical: Traveling-state / subset DP,1
Graph / Network,Dynamic Programming,State-transition DP,+ Grid,Canonical: Coin Change / state-transition DP,1
Graph / Network,Dynamic Programming,Tree DP,+ Greedy Check + Tree + Graph,Canonical: Binary Tree Maximum Path Sum / tree DP,1
Graph / Network,Dynamic Programming,Tree DP,+ Sorting + Greedy Check + Tree,Canonical: Binary Tree Maximum Path Sum / tree DP,1
Graph / Network,Binary Search,Exact / partition binary search,+ Sorting,Canonical: Binary Search / median partition,1
Graph / Network,Binary Search,Exact / partition binary search,None,Canonical: Binary Search / median partition,1
Graph / Network,Custom Exact Technique,Exact custom / named technique,+ Graph,Canonical: Exact custom named technique,1
Graph / Network,Custom Exact Technique,Exact custom / named technique,+ Memoization,Canonical: Exact custom named technique,1
Graph / Network,Custom Exact Technique,Exact custom / named technique,+ Prefix/Suffix + Tree,Canonical: Exact custom named technique,1
Graph / Network,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,1
Graph / Network,DFS,Depth-first traversal,+ Counting,Canonical: Depth-first component exploration,1
Graph / Network,DFS,Depth-first traversal,+ Hash Map,Canonical: Depth-first component exploration,1
Graph / Network,BFS,Single-source breadth-first traversal,+ Hash Set,Canonical: Shortest-path layer BFS,1
Graph / Network,BFS,Single-source breadth-first traversal,+ Heap + Greedy Check,Canonical: Shortest-path layer BFS,1
Graph / Network,BFS,Single-source breadth-first traversal,+ Math,Canonical: Shortest-path layer BFS,1
Graph / Network,Backtracking,Choice tree with undo,+ Greedy Check,Canonical: Permutations / combinations search,1
Graph / Network,Backtracking,Choice tree with undo,None,Canonical: Permutations / combinations search,1
Graph / Network,Backtracking,Permutation / choice-tree generation,+ Math,Canonical: Permutations / combinations search,1
Graph / Network,Backtracking,Permutation / choice-tree generation,+ Prefix/Suffix,Canonical: Permutations / combinations search,1
Graph / Network,Backtracking,Permutation / choice-tree generation,None,Canonical: Permutations / combinations search,1
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Counting + Greedy Check,Canonical: Text-processing pipeline,1
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Counting + Greedy Check + Math,Canonical: Text-processing pipeline,1
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Graph,Canonical: Text-processing pipeline,1
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Grid,Canonical: Text-processing pipeline,1
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Hash Map + Counting + Graph,Canonical: Text-processing pipeline,1
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Hash Map + Counting + Sorting,Canonical: Text-processing pipeline,1
Graph / Network,BFS,Single-source breadth-first traversal,+ Graph + Math,Canonical: Shortest-path layer BFS,1
Graph / Network,BFS,Single-source breadth-first traversal,+ Hash Map,Canonical: Shortest-path layer BFS,1
Array / Sequence,Stack,LIFO state maintenance,+ Counting,Canonical: Valid Parentheses,1
Array / Sequence,Stack,LIFO state maintenance,+ Greedy Check,Canonical: Valid Parentheses,1
Array / Sequence,Stack,LIFO state maintenance,+ Heap,Canonical: Valid Parentheses,1
Array / Sequence,Stack,LIFO state maintenance,+ String Parsing,Canonical: Valid Parentheses,1
Array / Sequence,Two Pointers,Boundary / pointer sweep,+ Counting,Canonical: Two Sum II / Container With Most Water,1
Array / Sequence,Two Pointers,Boundary / pointer sweep,+ Hash Map,Canonical: Two Sum II / Container With Most Water,1
Array / Sequence,Two Pointers,Boundary / pointer sweep,+ Hash Map + Counting,Canonical: Two Sum II / Container With Most Water,1
Array / Sequence,Two Pointers,Boundary / pointer sweep,+ Hash Map + Counting + Sorting,Canonical: Two Sum II / Container With Most Water,1
Relational Table / SQL,SQL / Group By,Grouped aggregation,+ Hash Map,Canonical: Grouped aggregation / departmental summary,1
Relational Table / SQL,SQL / Group By,Grouped aggregation,+ Hash Map + Heap,Canonical: Grouped aggregation / departmental summary,1
Relational Table / SQL,SQL / Group By,Grouped aggregation,+ Intervals/Geometry,Canonical: Grouped aggregation / departmental summary,1
Relational Table / SQL,SQL / Group By,Grouped aggregation,+ Prefix/Suffix + Trie,Canonical: Grouped aggregation / departmental summary,1
Array / Sequence,Sliding Window,Variable-size window,+ Sorting + Intervals/Geometry,Canonical: Minimum Window / variable-size window,1
Array / Sequence,Sliding Window,Variable-size window,+ Sorting + Queue/Deque,Canonical: Minimum Window / variable-size window,1
Array / Sequence,Sorting / Sweep,Order-then-scan,+ Counting,Canonical: Sort then scan,1
Array / Sequence,Stack,Expression parsing,None,Canonical: Basic Calculator,1
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Prefix/Suffix,Canonical: Text-processing pipeline,1
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Prefix/Suffix + Trie,Canonical: Text-processing pipeline,1
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Sorting + Graph,Canonical: Text-processing pipeline,1
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Sorting + Stack + Greedy Check,Canonical: Text-processing pipeline,1
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Stack + Intervals/Geometry,Canonical: Text-processing pipeline,1
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Tree + Segment/Fenwick + Intervals/Geometry,Canonical: Text-processing pipeline,1
Relational Table / SQL,SQL / Group By,Aggregate + HAVING filter,+ Hash Map,Canonical: Grouped aggregation / departmental summary,1
Relational Table / SQL,SQL / Group By,Aggregate + HAVING filter,+ Hash Set,Canonical: Grouped aggregation / departmental summary,1
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Hash Map + Memoization + Bitmask,Canonical: Text-processing pipeline,1
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Hash Set + Counting,Canonical: Text-processing pipeline,1
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Hash Set + Graph + Math,Canonical: Text-processing pipeline,1
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Heap,Canonical: Text-processing pipeline,1
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Heap + Greedy Check,Canonical: Text-processing pipeline,1
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Heap + Queue/Deque,Canonical: Text-processing pipeline,1
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Heap + Queue/Deque + Grid,Canonical: Text-processing pipeline,1
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Intervals/Geometry,Canonical: Text-processing pipeline,1
Array / Sequence,Segment Tree,Range query / update tree,+ Counting + Tree + Segment/Fenwick,Canonical: Range query / update segment tree,1
Array / Sequence,Segment Tree,Range query / update tree,+ Hash Map + Tree + Segment/Fenwick,Canonical: Range query / update segment tree,1
Array / Sequence,Simulation / Scan / Precompute,Direct simulation / scan,+ Hash Set,Canonical: Direct simulation,1
Array / Sequence,Simulation / Scan / Precompute,Single-pass scan,+ Prefix/Suffix,Canonical: Linear scan with running state,1
Array / Sequence,Simulation / Scan / Precompute,State-tracking simulation,+ Memoization + Tree,Canonical: Direct simulation,1
Array / Sequence,Sliding Window,Fixed-size window,+ Prefix/Suffix,Canonical: Fixed-size subarray window,1
Array / Sequence,Sliding Window,Fixed-size window,+ Sorting,Canonical: Fixed-size subarray window,1
Array / Sequence,Sliding Window,Variable-size + frequency/uniqueness control,+ Hash Map + Hash Set + Sorting,Canonical: Longest Substring Without Repeating Characters,1
Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,+ Hash Map + Counting + Prefix/Suffix,Canonical: Basic filter / reshape / null-handling,1
Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,+ Hash Map + Sorting,Canonical: Basic filter / reshape / null-handling,1
Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,+ Hash Set + Graph,Canonical: Basic filter / reshape / null-handling,1
Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,+ Queue/Deque,Canonical: Basic filter / reshape / null-handling,1
Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,+ Tree + String Parsing,Canonical: Basic filter / reshape / null-handling,1
Relational Table / SQL,SQL / Window Function,DENSE_RANK ranking,+ Counting,Canonical: Ranking & running-row analytics,1
Array / Sequence,Queue / Deque,Deque-backed range/window state,+ Prefix/Suffix + Greedy Check,Canonical: Sliding Window Maximum,1
Array / Sequence,Segment Tree,Range query / update tree,+ Bitmask + Tree + Segment/Fenwick,Canonical: Range query / update segment tree,1
Relational Table / SQL,SQL / Join,Key-based row matching,+ Hash Map,Canonical: Combine Two Tables,1
Relational Table / SQL,SQL / Join,Key-based row matching,+ Hash Set,Canonical: Combine Two Tables,1
Relational Table / SQL,SQL / Join,Key-based row matching,+ Prefix/Suffix + String Parsing,Canonical: Combine Two Tables,1
Relational Table / SQL,SQL / Join,Left join / null retention,+ Intervals/Geometry,Canonical: Combine Two Tables,1
Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,+ Counting + Prefix/Suffix,Canonical: Basic filter / reshape / null-handling,1
Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,+ Greedy Check + Math,Canonical: Basic filter / reshape / null-handling,1
Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,+ Hash Map,Canonical: Basic filter / reshape / null-handling,1
Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,+ Hash Map + Counting,Canonical: Basic filter / reshape / null-handling,1
Array / Sequence,Two Pointers,Boundary / pointer sweep,+ Intervals/Geometry,Canonical: Two Sum II / Container With Most Water,1
Array / Sequence,Two Pointers,Boundary / pointer sweep,+ Math,Canonical: Two Sum II / Container With Most Water,1
Array / Sequence,Two Pointers,Boundary / pointer sweep,+ Sorting + Greedy Check + Math,Canonical: Two Sum II / Container With Most Water,1
Array / Sequence,Two Pointers,Boundary / pointer sweep,+ String Parsing + Math,Canonical: Two Sum II / Container With Most Water,1
Array / Sequence,Two Pointers,Next-permutation pointer choreography,None,Canonical: Next Permutation,1
Array / Sequence,Two Pointers,Same-direction merge / fill,+ Counting + Sorting + Intervals/Geometry,Canonical: Two Sum II / Container With Most Water,1
Relational Table / SQL,SQL / Group By,Grouped aggregation,+ Sorting,Canonical: Grouped aggregation / departmental summary,1
Relational Table / SQL,SQL / Join,Key-based row matching,+ Counting + Memoization,Canonical: Combine Two Tables,1
String / Text,Counting,Count-driven scan,+ Sorting,Canonical: Frequency counting,1
String / Text,Counting,Count-driven scan,+ Sorting + Greedy Check,Canonical: Frequency counting,1
String / Text,Counting,Count-driven scan,+ Tree + Segment/Fenwick + Math,Canonical: Frequency counting,1
String / Text,Counting,Frequency counting,+ Graph + Math,Canonical: Frequency counting,1
String / Text,Counting,Frequency counting,+ Sorting + Greedy Check + Math,Canonical: Frequency counting,1
String / Text,Custom Exact Technique,Exact custom / named technique,+ Counting,Canonical: Exact custom named technique,1
