ID,Problem Title,data_shape,primary_engine,variation,composite_helper,canonical_link,opt_time_budget,opt_space_budget,draw_anatomy_bucket
2968,Apply Operations to Maximize Frequency Score,Number / Bit / Math,Sliding Window,Variable-size window,+ Sorting + Prefix/Suffix,Canonical: Minimum Window / variable-size window,O(N log N),O(N),Lookup-table / bucket canvas
2969,Minimum Number of Coins for Fruits II,Number / Bit / Math,Queue / Deque,Deque-backed range/window state,None,Canonical: Sliding Window Maximum,O(N),O(N),Container canvas (stack/queue/heap)
2970,Count the Number of Incremovable Subarrays I,Number / Bit / Math,Two Pointers,Boundary / pointer sweep,+ Prefix/Suffix,Canonical: Two Sum II / Container With Most Water,O(N),O(1),Coordinate-plane canvas
2971,Find Polygon With the Largest Perimeter,Intervals / Geometry / Coordinates,Prefix / Suffix Precompute,Range-sum precompute,+ Sorting + Greedy Check,Canonical: Range Sum Query,O(N log N),O(1),Strip / timeline / pointer canvas
2972,Count the Number of Incremovable Subarrays II,Number / Bit / Math,Two Pointers,Boundary / pointer sweep,+ Prefix/Suffix,Canonical: Two Sum II / Container With Most Water,O(N),O(1),Coordinate-plane canvas
2973,Find Number of Coins to Place in Tree Nodes,Tree / Trie,Tree,Recursive subtree aggregation,None,Canonical: Binary Tree recursion,O(N · 5 log 5),O(N),Node-link canvas (tree/list/trie)
2974,Minimum Number Game,Number / Bit / Math,Sorting / Sweep,Order-then-scan,None,Canonical: Sort then scan,O(N log N),O(N),Strip / timeline / pointer canvas
2975,Maximum Square Area by Removing Fences,Intervals / Geometry / Coordinates,Hash Set,Uniqueness / seen-set check,None,Canonical: Contains Duplicate / seen-set uniqueness,O(H^2 + V^2),O(H^2 + V^2),Lookup-table / bucket canvas
2976,Minimum Cost to Convert String I,Graph / Network,Shortest Path / Flow,All-pairs shortest path,None,Canonical: Weighted shortest path,O(26^3 + N),O(1),Container canvas (stack/queue/heap)
2977,Minimum Cost to Convert String II,Graph / Network,Shortest Path / Flow,All-pairs shortest path,+ Trie,Canonical: Weighted shortest path,O(N^2 + U^3),O(Total Chars + U^2),Node-link canvas (tree/list/trie)
2978,Symmetric Coordinates,Relational Table / SQL,SQL / Window Function,ROW_NUMBER ranking,None,Canonical: Ranking & running-row analytics,Depends on engine / grouping plan,O(N),Relational table canvas
2979,Most Expensive Item That Cannot Be Bought,Number / Bit / Math,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(1),O(1),Strip / timeline / pointer canvas
2980,Check if Bitwise OR Has Trailing Zeros,Number / Bit / Math,Greedy,Local-choice optimization,+ Counting,Canonical: Gas Station / local-choice greedy,O(N),O(1),Coordinate-plane canvas
2981,Find Longest Special Substring That Occurs Thrice I,Tree / Trie,Sliding Window,Variable-size window,+ Hash Map + Counting,Canonical: Minimum Window / variable-size window,O(N),O(26N),Node-link canvas (tree/list/trie)
2982,Find Longest Special Substring That Occurs Thrice II,Tree / Trie,Simulation / Scan / Precompute,State-tracking simulation,None,Canonical: Direct simulation,O(N),O(1),Node-link canvas (tree/list/trie)
2983,Palindrome Rearrangement Queries,Intervals / Geometry / Coordinates,Prefix / Suffix Precompute,Range-sum precompute,+ Math,Canonical: Range Sum Query,O(26(N+Q),O(26N),Formula / invariant canvas
2984,Find Peak Calling Hours for Each City,Relational Table / SQL,SQL / Window Function,RANK / ordering,None,Canonical: Ranking & running-row analytics,Depends on engine / grouping plan,O(Cities),Relational table canvas
2985,Calculate Compressed Mean,Number / Bit / Math,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(1),O(1),Formula / invariant canvas
2986,Find Third Transaction,Relational Table / SQL,SQL / Window Function,ROW_NUMBER ranking,None,Canonical: Ranking & running-row analytics,O(N log N),O(N),Relational table canvas
2987,Find Expensive Cities,Relational Table / SQL,SQL / Group By,Aggregate + HAVING filter,None,Canonical: Grouped aggregation / departmental summary,O(N),O(Unique Cities),Strip / timeline / pointer canvas
2988,Manager of the Largest Department,Relational Table / SQL,SQL / Window Function,DENSE_RANK ranking,None,Canonical: Ranking & running-row analytics,O(N log N),O(Departments),Relational table canvas
2989,Class Performance,Number / Bit / Math,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(N),O(1),Object / process canvas
2990,Loan Types,Relational Table / SQL,SQL / Group By,Aggregate + HAVING filter,+ Counting,Canonical: Grouped aggregation / departmental summary,O(N),O(Users),Relational table canvas
2991,Top Three Wineries,Relational Table / SQL,SQL / Window Function,RANK / ordering,None,Canonical: Ranking & running-row analytics,O(N log N),O(Countries),Relational table canvas
2992,Number of Self-Divisible Permutations,Number / Bit / Math,Backtracking,Choice tree with undo,+ Bitmask,Canonical: Permutations / combinations search,O(N!),O(N),Range / bit-state canvas
2993,Friday Purchases I,Array / Sequence,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(N),O(1),Lookup-table / bucket canvas
2994,Friday Purchases II,Relational Table / SQL,SQL / Join,Left join / null retention,None,Canonical: Combine Two Tables,O(N),O(1),Relational table canvas
2995,Viewers Turned Streamers,Relational Table / SQL,SQL / Window Function,RANK / ordering,None,Canonical: Ranking & running-row analytics,O(N log N),O(N),Relational table canvas
2996,Smallest Missing Integer Greater Than Sequential Prefix Sum,String / Text,Hash Set,Uniqueness / seen-set check,None,Canonical: Contains Duplicate / seen-set uniqueness,O(N),O(N),Lookup-table / bucket canvas
2997,Minimum Number of Operations to Make Array XOR Equal to K,Number / Bit / Math,Bit / Mask,XOR / parity logic,None,Canonical: Single Number / XOR invariant,O(N),O(1),Container canvas (stack/queue/heap)
2998,Minimum Number of Operations to Make X and Y Equal,Graph / Network,Shortest Path / Flow,Weighted graph optimization,None,Canonical: Weighted shortest path,O(X),O(X),Container canvas (stack/queue/heap)
2999,Count the Number of Powerful Integers,Number / Bit / Math,Dynamic Programming,Digit DP,+ Math,Canonical: Digit DP counting,O(digits · 10),O(digits),State-table / recurrence canvas
3000,Maximum Area of Longest Diagonal Rectangle,Intervals / Geometry / Coordinates,Simulation / Scan / Precompute,Single-pass scan,None,Canonical: Linear scan with running state,O(N),O(1),Strip / timeline / pointer canvas
3001,Minimum Moves to Capture The Queen,Matrix / Grid,Geometry,Geometric reasoning,+ Math,Canonical: Geometry / sweep / convex-hull family,O(1),Custom / source-specific,Grid / board canvas
3002,Maximum Size of a Set After Removals,Array / Sequence,Hash Set,Uniqueness / seen-set check,+ Greedy Check,Canonical: Contains Duplicate / seen-set uniqueness,O(N),O(N),Lookup-table / bucket canvas
3003,Maximize the Number of Partitions After Operations,Number / Bit / Math,Dynamic Programming,Bitmask DP,+ Bitmask,Canonical: Traveling-state / subset DP,O(N·2^N),O(2^N),Range / bit-state canvas
3004,Maximum Subtree of the Same Color,Tree / Trie,DFS,Tree DFS,+ Tree,Canonical: Path Sum / subtree DFS,O(N),O(V),Node-link canvas (tree/list/trie)
3005,Count Elements With Maximum Frequency,Array / Sequence,Hash Map,Frequency dictionary,+ Counting,Canonical: Group Anagrams / frequency map,O(N),O(N),Lookup-table / bucket canvas
3006,Find Beautiful Indices in the Given Array I,Array / Sequence,Two Pointers,Boundary / pointer sweep,None,Canonical: Two Sum II / Container With Most Water,O(N),O(1),Coordinate-plane canvas
3007,Maximum Number That Sum of Prices Is Less Than or Equal to K,Matrix / Grid,Binary Search,Answer-space binary search,+ Tree + Segment/Fenwick + Math,Canonical: Koko Eating Bananas,O(log N),Custom / source-specific,Grid / board canvas
3008,Find Beautiful Indices in the Given Array II,Array / Sequence,Two Pointers,Boundary / pointer sweep,+ Prefix/Suffix,Canonical: Two Sum II / Container With Most Water,O(N),O(1),Coordinate-plane canvas
3009,Maximum Number of Intersections on the Chart,Number / Bit / Math,Prefix / Suffix Precompute,Difference-array accumulation,+ Intervals/Geometry,Canonical: Prefix/Suffix extrema accumulation,O(N log N),O(N),Coordinate-plane canvas
3010,Divide an Array Into Subarrays With Minimum Cost I,Array / Sequence,Greedy,Sort-then-greedy,+ Sorting + Math,Canonical: Merge Intervals / scheduling greedy,O(1),O(1),Coordinate-plane canvas
3011,Find if Array Can Be Sorted,Number / Bit / Math,Hash Set,Uniqueness / seen-set check,None,Canonical: Contains Duplicate / seen-set uniqueness,O(N),O(N),Lookup-table / bucket canvas
3012,Minimize Length of Array Using Operations,Number / Bit / Math,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(N),O(1),Formula / invariant canvas
3013,Divide an Array Into Subarrays With Minimum Cost II,Tree / Trie,Tree,Recursive subtree aggregation,+ Heap,Canonical: Binary Tree recursion,O(N),O(H),Container canvas (stack/queue/heap)
3014,Minimum Number of Pushes to Type Word I,String / Text,Greedy,Greedy with numeric invariant,+ Math,Canonical: Gas Station / local-choice greedy,O(N),O(1),Lookup-table / bucket canvas
3015,Count the Number of Houses at a Certain Distance I,Graph / Network,Shortest Path / Flow,All-pairs shortest path,None,Canonical: Weighted shortest path,Custom / source-specific,Custom / source-specific,Grid / board canvas
3016,Minimum Number of Pushes to Type Word II,String / Text,Counting,Frequency counting,+ Sorting + Greedy Check,Canonical: Frequency counting,O(N),O(N),Lookup-table / bucket canvas
3017,Count the Number of Houses at a Certain Distance II,Intervals / Geometry / Coordinates,Prefix / Suffix Precompute,Difference-array accumulation,+ Intervals/Geometry,Canonical: Prefix/Suffix extrema accumulation,O(N),O(N),Strip / timeline / pointer canvas
3018,Maximum Number of Removal Queries That Can Be Processed I,Matrix / Grid,Dynamic Programming,2D DP,+ Intervals/Geometry,Canonical: Edit Distance / Grid DP,O(N^2),O(M·N),Grid / board canvas
3019,Number of Changing Keys,Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(N),O(1),Strip / timeline / pointer canvas
3020,Find the Maximum Number of Elements in Subset,Number / Bit / Math,Hash Map,Direct keyed lookup,+ Math,Canonical: Direct lookup dictionary,O(log(log(Max_Val),O(N),Node-link canvas (tree/list/trie)
3021,Alice and Bob Playing Flower Game,Matrix / Grid,Math / Number Theory,Parity / algebraic invariant,None,Canonical: Mathematical invariant,O(1),O(1),Grid / board canvas
3022,Minimize OR of Remaining Elements Using Operations,Number / Bit / Math,Greedy,Local-choice optimization,+ Bitmask,Canonical: Gas Station / local-choice greedy,O(N),O(1),Range / bit-state canvas
3023,Find Pattern in Infinite Stream I,String / Text,Custom Exact Technique,Exact custom / named technique,+ Tree + String Parsing,Canonical: Exact custom named technique,O(1),Custom / source-specific,Graph / state-network canvas
3024,Type of Triangle,Array / Sequence,Sorting / Sweep,Order-then-scan,+ Math,Canonical: Sort then scan,O(1),Custom / source-specific,Strip / timeline / pointer canvas
3025,Find the Number of Ways to Place People I,Intervals / Geometry / Coordinates,Sorting / Sweep,Order-then-scan,None,Canonical: Sort then scan,Custom / source-specific,Custom / source-specific,Coordinate-plane canvas
3026,Maximum Good Subarray Sum,Array / Sequence,Prefix / Suffix Precompute,Range-sum precompute,+ Hash Map,Canonical: Range Sum Query,O(N),O(N),Graph / state-network canvas
3027,Find the Number of Ways to Place People II,Matrix / Grid,Sorting / Sweep,Order-then-scan,None,Canonical: Sort then scan,Custom / source-specific,Custom / source-specific,Grid / board canvas
3028,Ant on the Boundary,Array / Sequence,Prefix / Suffix Precompute,Range-sum precompute,None,Canonical: Range Sum Query,O(N),O(N),Coordinate-plane canvas
3029,Minimum Time to Revert Word to Initial State I,String / Text,Custom Exact Technique,Exact custom / named technique,+ Prefix/Suffix,Canonical: Exact custom named technique,O(N),Custom / source-specific,Strip / timeline / pointer canvas
3030,Find the Grid of Region Average,Matrix / Grid,Matrix / Grid,Grid / board traversal,None,Canonical: Grid traversal / DP scan,O(R·C),O(1)-O(R·C),Grid / board canvas
3031,Minimum Time to Revert Word to Initial State II,String / Text,Custom Exact Technique,Exact custom / named technique,+ Prefix/Suffix,Canonical: Exact custom named technique,O(N),Custom / source-specific,Strip / timeline / pointer canvas
3032,Count Numbers With Unique Digits II,Number / Bit / Math,Bit / Mask,Subset mask state,None,Canonical: Bitmask subset DP,O(log10(N),O(1)-O(2^N),Range / bit-state canvas
3033,Modify the Matrix,Matrix / Grid,Matrix / Grid,Grid / board traversal,None,Canonical: Grid traversal / DP scan,O(R·C),O(1)-O(R·C),Grid / board canvas
3034,Number of Subarrays That Match a Pattern I,String / Text,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(N+M),Custom / source-specific,Strip / timeline / pointer canvas
3035,Maximum Palindromes After Operations,String / Text,Counting,Count-driven scan,+ Sorting + Greedy Check,Canonical: Frequency counting,O(N),O(N),Strip / timeline / pointer canvas
3036,Number of Subarrays That Match a Pattern II,String / Text,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(N),Custom / source-specific,Coordinate-plane canvas
3037,Find Pattern in Infinite Stream II,String / Text,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(Stream_Length),Custom / source-specific,Coordinate-plane canvas
3038,Maximum Number of Operations With the Same Score I,Number / Bit / Math,Greedy,Local-choice optimization,None,Canonical: Gas Station / local-choice greedy,O(N),O(1),Object / process canvas
3039,Apply Operations to Make String Empty,String / Text,Counting,Frequency counting,None,Canonical: Frequency counting,O(N),O(N),Lookup-table / bucket canvas
3040,Maximum Number of Operations With the Same Score II,Matrix / Grid,Dynamic Programming,Memoized DP,+ Intervals/Geometry,Canonical: Coin Change (top-down),O(states × transitions),O(states),Grid / board canvas
3041,Maximize Consecutive Elements in an Array After Modifications,Array / Sequence,Dynamic Programming,State-transition DP,+ Sorting,Canonical: Coin Change / state-transition DP,O(N log N),O(states),Lookup-table / bucket canvas
3042,Count Prefix and Suffix Pairs I,Tree / Trie,Trie,Prefix-tree traversal / insertion,None,Canonical: Implement Trie (Prefix Tree),O(L) per op,O(total characters),Node-link canvas (tree/list/trie)
3043,Find the Length of the Longest Common Prefix,Tree / Trie,Trie,Prefix-tree traversal / insertion,+ Hash Set + Prefix/Suffix,Canonical: Implement Trie (Prefix Tree),O(total digits),O(total characters),Node-link canvas (tree/list/trie)
3044,Most Frequent Prime,Matrix / Grid,Custom Exact Technique,Exact custom / named technique,+ Graph + Math,Canonical: Exact custom named technique,"O(M · N · max(M,N)",Custom / source-specific,Grid / board canvas
3045,Count Prefix and Suffix Pairs II,Tree / Trie,Trie,Prefix-tree traversal / insertion,None,Canonical: Implement Trie (Prefix Tree),O(L) per op,O(total characters),Node-link canvas (tree/list/trie)
3046,Split the Array,Array / Sequence,Counting,Frequency counting,None,Canonical: Frequency counting,O(N),O(N),Lookup-table / bucket canvas
3047,Find the Largest Area of Square Inside Two Rectangles,Intervals / Geometry / Coordinates,Geometry,Coordinate transform / distance geometry,None,Canonical: Geometry / sweep / convex-hull family,O(1),Custom / source-specific,Coordinate-plane canvas
3048,Earliest Second to Mark Indices I,Array / Sequence,Binary Search,Answer-space binary search,+ Greedy Check,Canonical: Koko Eating Bananas,O(log N),Custom / source-specific,Strip / timeline / pointer canvas
3049,Earliest Second to Mark Indices II,Array / Sequence,Heap,Top-K / best-first selection,+ Greedy Check,Canonical: Top K Frequent Elements / merge-k,O(N log K),O(K),Container canvas (stack/queue/heap)
3050,Pizza Toppings Cost Analysis (SQL),Relational Table / SQL,SQL / Join,Key-based row matching,None,Canonical: Combine Two Tables,Depends on engine / grouping plan,Result / grouping dependent,Relational table canvas
3051,Find Candidates for Data Scientist Position (SQL),Relational Table / SQL,SQL / Group By,Aggregate + HAVING filter,+ Counting,Canonical: Grouped aggregation / departmental summary,O(N),Result / grouping dependent,Relational table canvas
3052,Maximize Items in Partitions (SQL),Relational Table / SQL,SQL / Window Function,Partitioned window analytics,+ Math,Canonical: Ranking & running-row analytics,Depends on engine / grouping plan,Result / grouping dependent,Relational table canvas
3053,Classifying Triangles by Lengths (SQL),Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,None,Canonical: Basic filter / reshape / null-handling,O(N),Result / grouping dependent,Relational table canvas
3054,Binary Tree Nodes (SQL),Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,None,Canonical: Basic filter / reshape / null-handling,O(N),Result / grouping dependent,Relational table canvas
3055,Top Percentile Fraud,Relational Table / SQL,SQL / Window Function,RANK / ordering,None,Canonical: Ranking & running-row analytics,Depends on engine / grouping plan,O(N),Relational table canvas
3056,Snaps Analysis (SQL),Relational Table / SQL,SQL / Join,Key-based row matching,None,Canonical: Combine Two Tables,Depends on engine / grouping plan,Result / grouping dependent,Relational table canvas
3057,Employees Project Allocation (SQL),Relational Table / SQL,SQL / Window Function,Partitioned window analytics,None,Canonical: Ranking & running-row analytics,Depends on engine / grouping plan,Result / grouping dependent,Relational table canvas
3058,Friends With No Common Friends (SQL),Relational Table / SQL,SQL / Join,Key-based row matching,+ Hash Set,Canonical: Combine Two Tables,Depends on engine / grouping plan,Result / grouping dependent,Relational table canvas
3059,Find All Unique Email Domains (SQL),Relational Table / SQL,SQL / Group By,Grouped aggregation,+ Tree + String Parsing,Canonical: Grouped aggregation / departmental summary,O(L),Result / grouping dependent,Relational table canvas
3060,User Activities Queries (SQL),Relational Table / SQL,SQL / Group By,Grouped aggregation,None,Canonical: Grouped aggregation / departmental summary,O(N),Result / grouping dependent,Relational table canvas
3061,Calculate Trapping Rain Water (SQL),Relational Table / SQL,SQL / Window Function,Partitioned window analytics,None,Canonical: Ranking & running-row analytics,O(2N),Result / grouping dependent,Relational table canvas
3062,Winner of the Linked List Game,Linked List,Two Pointers,Boundary / pointer sweep,None,Canonical: Merge / reverse linked-list pointers,O(N/2),O(1),Node-link canvas (tree/list/trie)
3063,Linked List Frequency,Linked List,Linked List,Pointer manipulation on list nodes,+ Hash Map,Canonical: Pointer rewiring on linked list,O(N),O(Unique_Elements),Node-link canvas (tree/list/trie)
3064,Guess the Number Using Bitwise Questions I,Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,+ Bitmask + Tree + Segment/Fenwick,Canonical: Exact custom named technique,Custom / source-specific,O(1),Strip / timeline / pointer canvas
3065,Minimum Operations to Exceed Threshold Value I,Array / Sequence,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(N),O(1),Strip / timeline / pointer canvas
3066,Minimum Operations to Exceed Threshold Value II,Array / Sequence,Heap,Priority-based selection,None,Canonical: Top K Frequent Elements / merge-k,O(N),O(K),Container canvas (stack/queue/heap)
3067,Count Pairs of Connectable Servers in a Weighted Tree,Tree / Trie,DFS,Tree DFS,+ Tree + Math,Canonical: Path Sum / subtree DFS,O(N),O(V),Node-link canvas (tree/list/trie)
3068,Find the Maximum Sum of Node Values,Array / Sequence,Dynamic Programming,State-transition DP,+ Sorting + Greedy Check,Canonical: Coin Change / state-transition DP,O(N log N),O(states),Node-link canvas (tree/list/trie)
3069,Distribute Elements Into Two Arrays I,Array / Sequence,Greedy,Local-choice optimization,None,Canonical: Gas Station / local-choice greedy,O(N),O(1),Coordinate-plane canvas
3070,Count Submatrices with Top-Left Element and Sum Less Than k,Matrix / Grid,Prefix / Suffix Precompute,Range-sum precompute,None,Canonical: Range Sum Query,O(1),O(N),Grid / board canvas
3071,Minimum Operations to Write the Letter Y on a Grid,Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Counting,Canonical: Grid traversal / DP scan,O(6),O(1)-O(R·C),Grid / board canvas
3072,Distribute Elements Into Two Arrays II,Array / Sequence,Segment Tree,Range query / update tree,+ Tree + Segment/Fenwick + Intervals/Geometry,Canonical: Range query / update segment tree,O(N log N),O(N),Range / bit-state canvas
3073,Maximum Increasing Triplet Value,Array / Sequence,Hash Set,Uniqueness / seen-set check,None,Canonical: Contains Duplicate / seen-set uniqueness,O(log N),O(N),Strip / timeline / pointer canvas
3074,Apple Redistribution into Boxes,Array / Sequence,Greedy,Sort-then-greedy,+ Sorting,Canonical: Merge Intervals / scheduling greedy,O(N log N),O(1),Strip / timeline / pointer canvas
3075,Maximize Happiness of Selected Children,Array / Sequence,Greedy,Local-choice optimization,None,Canonical: Gas Station / local-choice greedy,O(N log N),O(1),Strip / timeline / pointer canvas
3076,Shortest Uncommon Substring in an Array,Tree / Trie,Hash Map,Frequency dictionary,+ Counting + Sorting,Canonical: Group Anagrams / frequency map,O(L^2),O(N),Node-link canvas (tree/list/trie)
3077,Maximum Strength of K Disjoint Subarrays,Array / Sequence,Dynamic Programming,State-transition DP,None,Canonical: Coin Change / state-transition DP,O(states × transitions),O(K · N),Relational table canvas
3078,Match Alphanumerical Pattern in Matrix I,Matrix / Grid,Matrix / Grid,Grid / board traversal,None,Canonical: Grid traversal / DP scan,O(R·C),O(1),Grid / board canvas
3079,Find the Sum of Encrypted Integers,Number / Bit / Math,Math / Number Theory,Digit arithmetic / carry,None,Canonical: Add Two Numbers / Reverse Integer,O(N · D),O(1),Coordinate-plane canvas
3080,Mark Elements on Array by Performing Queries,Number / Bit / Math,Heap,Top-K / best-first selection,None,Canonical: Top K Frequent Elements / merge-k,O(N),O(K),Container canvas (stack/queue/heap)
3081,Replace Question Marks in String to Minimize Its Value,String / Text,Heap,Priority-based selection,+ Counting + Greedy Check,Canonical: Top K Frequent Elements / merge-k,O(N),O(K),Container canvas (stack/queue/heap)
3082,Find the Sum of the Power of All Subsequences,Matrix / Grid,Dynamic Programming,3D DP,None,Canonical: Coin Change / state-transition DP,O(N^2 · K),O(states),Grid / board canvas
3083,Existence of a Substring in a String and Its Reverse,Tree / Trie,Hash Set,Uniqueness / seen-set check,None,Canonical: Contains Duplicate / seen-set uniqueness,O(1),O(N),Grid / board canvas
3084,Count Substrings Starting and Ending with Given Character,Tree / Trie,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(1),O(1),Node-link canvas (tree/list/trie)
3085,Minimum Deletions to Make String K-Frequency Special,String / Text,Counting,Frequency counting,+ Sorting,Canonical: Frequency counting,O(N),O(N),Lookup-table / bucket canvas
3086,Minimum Moves to Pick K Ones,Array / Sequence,Sliding Window,Variable-size window,+ Prefix/Suffix,Canonical: Minimum Window / variable-size window,O(N),O(1),Strip / timeline / pointer canvas
3087,Find Trending Hashtags (SQL),Relational Table / SQL,SQL / Group By,Grouped aggregation,+ String Parsing,Canonical: Grouped aggregation / departmental summary,O(N),Result / grouping dependent,Relational table canvas
3088,Make String Anti-palindrome,String / Text,Greedy,Sort-then-greedy,+ Sorting,Canonical: Merge Intervals / scheduling greedy,O(N log N),O(1),Strip / timeline / pointer canvas
3089,Find Bursty Behavior (SQL),Relational Table / SQL,SQL / Window Function,Partitioned window analytics,+ Counting,Canonical: Ranking & running-row analytics,Depends on engine / grouping plan,Result / grouping dependent,Relational table canvas
3090,Maximum Length Substring With Two Occurrences,Tree / Trie,Sliding Window,Variable-size window,None,Canonical: Minimum Window / variable-size window,O(N),O(1),Node-link canvas (tree/list/trie)
3091,Apply Operations to Make Sum Greater Than or Equal to k,Matrix / Grid,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(√k),O(1),Grid / board canvas
3092,Most Frequent IDs,Array / Sequence,Heap,Priority-based selection,+ Hash Map,Canonical: Top K Frequent Elements / merge-k,O(N log K),O(K),Container canvas (stack/queue/heap)
3093,Longest Common Suffix Queries,Tree / Trie,Trie,Prefix-tree traversal / insertion,+ Prefix/Suffix,Canonical: Implement Trie (Prefix Tree),O(L) per op,O(total characters),Node-link canvas (tree/list/trie)
3094,Guess the Number Using Bitwise Queries II,Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,+ Tree + Segment/Fenwick,Canonical: Exact custom named technique,O(30),Custom / source-specific,Strip / timeline / pointer canvas
3095,Shortest Subarray With OR at Least K I,Number / Bit / Math,Sliding Window,Variable-size window,None,Canonical: Minimum Window / variable-size window,O(N),O(1),Coordinate-plane canvas
3096,Minimum Levels to Gain More Points,Intervals / Geometry / Coordinates,Prefix / Suffix Precompute,Range-sum precompute,None,Canonical: Range Sum Query,O(N),O(1),Coordinate-plane canvas
3097,Shortest Subarray With OR at Least K II,Number / Bit / Math,Sliding Window,Variable-size window,+ Counting + Tree + Segment/Fenwick,Canonical: Minimum Window / variable-size window,O(N),O(1),Strip / timeline / pointer canvas
3098,Find the Sum of Subsequences Powers,Matrix / Grid,Dynamic Programming,State-transition DP,+ Sorting,Canonical: Coin Change / state-transition DP,O(N^3 · K),O(states),Grid / board canvas
3099,Harshad Number,Number / Bit / Math,Math / Number Theory,Digit arithmetic / carry,None,Canonical: Add Two Numbers / Reverse Integer,O(number of digits),O(1),Formula / invariant canvas
3100,Water Bottles II,Intervals / Geometry / Coordinates,Greedy,Local-choice optimization,None,Canonical: Gas Station / local-choice greedy,O(√N),O(1),Lookup-table / bucket canvas
3101,Count Alternating Subarrays,Array / Sequence,Sliding Window,Variable-size window,None,Canonical: Minimum Window / variable-size window,O(N),O(1),State-table / recurrence canvas
3102,Minimize Manhattan Distances,Matrix / Grid,Geometry,Coordinate transform / distance geometry,None,Canonical: Geometry / sweep / convex-hull family,O(log N),Custom / source-specific,Grid / board canvas
3103,Find Trending Hashtags II (SQL),Relational Table / SQL,SQL / Group By,Grouped aggregation,+ Tree + String Parsing,Canonical: Grouped aggregation / departmental summary,O(N),Result / grouping dependent,Relational table canvas
3104,Find Longest Self-Contained Substring,Tree / Trie,Prefix / Suffix Precompute,Range-sum precompute,+ Intervals/Geometry,Canonical: Range Sum Query,O(26 x N),O(N),Node-link canvas (tree/list/trie)
3105,Longest Strictly Inc. or Dec. Subarray,Number / Bit / Math,Greedy,Local-choice optimization,None,Canonical: Gas Station / local-choice greedy,O(N),O(1),Graph / state-network canvas
3106,Lexicographically Smallest String After Ops,Graph / Network,Greedy,Greedy with numeric invariant,+ Math,Canonical: Gas Station / local-choice greedy,O(N),O(1),Graph / state-network canvas
3107,Min Operations to Make Median Equal to K,Array / Sequence,Greedy,Sort-then-greedy,+ Sorting,Canonical: Merge Intervals / scheduling greedy,O(N),O(1),Strip / timeline / pointer canvas
3108,Min Cost Walk in Weighted Graph,Graph / Network,Union-Find,Connectivity / component merging,None,Canonical: Number of Connected Components / Redundant Connection,O(E α(N),O(V),Relational table canvas
3109,Find the Index of Permutation,Array / Sequence,Fenwick / Sparse Table,Fenwick prefix aggregate,+ Tree + Segment/Fenwick + Math,Canonical: Fenwick tree / Binary Lifting,O(N log N),O(N),Range / bit-state canvas
3110,Score of a String,String / Text,Simulation / Scan / Precompute,Direct simulation / scan,None,Canonical: Direct simulation,O(1),O(1),Object / process canvas
3111,Minimum Rectangles to Cover Points,Intervals / Geometry / Coordinates,Greedy,Sort-then-greedy,+ Sorting,Canonical: Merge Intervals / scheduling greedy,O(N log N),O(1),Coordinate-plane canvas
3112,Minimum Time to Visit Disappearing Nodes,Graph / Network,Shortest Path / Flow,Weighted shortest path,+ Heap,Canonical: Network Delay Time,O(E log V),O(V),Container canvas (stack/queue/heap)
3113,Find the Number of Subarrays Where Boundary Elements Are Maximum,Number / Bit / Math,Monotonic Stack,Next-greater / monotonic boundary stack,None,Canonical: Daily Temperatures / Largest Rectangle,O(N),O(N),Container canvas (stack/queue/heap)
3114,Latest Time You Can Obtain After Replacing Characters,String / Text,Greedy,Local-choice optimization,None,Canonical: Gas Station / local-choice greedy,O(1),O(1),Strip / timeline / pointer canvas
3115,Maximum Prime Difference,Number / Bit / Math,Two Pointers,Boundary / pointer sweep,None,Canonical: Two Sum II / Container With Most Water,O(N * sqrt(M),O(1),Graph / state-network canvas
3116,Kth Smallest Amount With Single Denomination Combination,Array / Sequence,Binary Search,Exact / partition binary search,+ Math,Canonical: Binary Search / median partition,O(2^N),O(1),Coordinate-plane canvas
3117,Minimum Sum of Values by Dividing Array,Array / Sequence,Dynamic Programming,Memoized DP,+ Bitmask,Canonical: Coin Change (top-down),O(N x M x log(Max),O(states),State-table / recurrence canvas
