ID,Problem Title,Optimised Pattern,How to Draw (Opt),Anatomy Bucket
3472,Longest Palindromic Subsequence After at Most K Operations,"3D Dynamic Programming (State: i, j, kRemain). O(n^2 · k)","Draw a 2D table (i vs j). Inside each cell, draw a small stack of 3-4 boxes (for k values). Draw arrows jumping between the boxes.",Container canvas (stack/queue/heap)
3473,Sum of K Subarrays With Length at Least M,"DP with Prefix Sum Optimization + ""Ongoing"" State. O(n · k)","Draw the array. Below it, draw a ""Skip"" arrow and a ""Take m block"" arrow. Label the arrows with the cost/sum and number of k left.",State-table / recurrence canvas
3474,Lexicographically Smallest Generated String,Greedy Template Filling + Contradiction Check (KMP/Suffix). O(n · m),"Draw the result string as empty boxes. Shade boxes where 'T' forces characters. For remaining boxes, write 'a' and draw an ""Alert"" symbol if it matches str2 at an 'F' position.",Graph / state-network canvas
3475,DNA Pattern Recognition,SQL `CASE` statements with `LIKE` and `REGEXP` for vectorized pattern matching. O(N),"Draw a table with columns: `has_start`, `has_stop`, `has_atat`, `has_ggg`. For each DNA string, check off the boxes.",Relational table canvas
3476,Maximize Profit from Task Assignment,Greedy Assignment + Hash Map of Max-Heaps + Special Worker Greedy choice. O((N+M) log M),"Draw buckets for each skill level. Put profits in each bucket. Draw a worker ""taking"" the top value. Draw a ""Special"" worker taking the best from any bucket.",Container canvas (stack/queue/heap)
3477,Fruits Into Baskets II,Simulation with Leftmost Greedy Search. O(N^2) is acceptable given N=100.,"Draw the baskets as boxes. For a fruit, slide your finger over boxes until you find a big enough one. Draw a big 'X' over it.",Object / process canvas
3478,Choose K Elements With Maximum Sum,Sorting + Sliding Window with Min-Heap of size K. O(N log N + N log K),"Draw a horizontal timeline of sorted nums1. Place a sliding ""gate."" Values passing the gate go into a ""K-Basket."" If it's too full, the smallest falls out.",Container canvas (stack/queue/heap)
3479,Fruits Into Baskets III,Segment Tree (Max-Range) + Binary Search for First Index. O(N log N),"Draw a binary tree. Each node stores the max of its children. For a fruit, highlight the path to the leftmost leaf that is >= fruit size. Then set that leaf to 0.",Range / bit-state canvas
3480,Maximize Subarrays After Removing One Conflicting Pair,Two-Pointer / Boundary Tracking (Min and Second Min). O(N + M),"Draw a horizontal array. For index i, draw two vertical dashed lines (b1, b2). The gap between them is the ""potential gain.""",Coordinate-plane canvas
3481,Apply Substitutions,DFS with Memoization / Dependency Graph Resolve. O(Final Length),"Draw bubble nodes for variables. Draw arrows to other variables they contain. Cross out bubbles as you ""cache"" their final string.",Node-link canvas (tree/list/trie)
3482,Analyze Organization Hierarchy,Recursive CTE (SQL) / DFS with Aggregate Accumulation. O(N),"Draw a tree. Write a number in each leaf. Draw ""up-arrows"" pushing those numbers to the parent. Parent sums them up and pushes further.",Relational table canvas
3483,Unique 3-Digit Even Numbers,Fixed-Space Iteration (100..998) + Frequency Map Tally. O(N + 450),"Draw 10 buckets (0-9). For number ""246"", check if buckets 2, 4, and 6 have >= 1 item.",Lookup-table / bucket canvas
3484,Design Spreadsheet,Hash Map (Sparse Storage) + Direct Formula Parsing. O(1) set / O(L) get.,"Draw two columns: ID (e.g., A1) and Value. Only write rows for cells that actually have data.",Grid / board canvas
3485,Longest Common Prefix of K Strings After Removal,Trie + Dynamic Programming,"Draw a Trie. To make the prefix ""APP"" common across 3 strings, look at how many letters you have to delete from strings that diverge from the ""APP"" path. Use DP to find the cheapest way to force K strings down that exact path.",Container canvas (stack/queue/heap)
3486,Longest Special Path II,DFS + Sliding Window on Path + Hash Map for Last Depth. O(N),"Draw a tree path. Draw a sliding bracket alongside the path. If you hit a duplicate value, ""shrink"" the top of the bracket down to the old value's position.",Lookup-table / bucket canvas
3487,Maximum Unique Subarray Sum After Deletion,Greedy (Sum of Unique Positive Numbers). O(N),"Draw the array. Circle every unique positive number. Write ""Delete"" over all negative numbers and duplicate positives. Sum the circles.",Coordinate-plane canvas
3488,Closest Equal Element Queries,Bi-directional Linear Scan with Last-Seen Map. O(N + Q),"Draw the array. Above it, draw arrows pointing left to previous occurrences. Below it, draw arrows pointing right to next occurrences. Record the shorter arrow length.",Lookup-table / bucket canvas
3489,Zero Array Transformation IV,Difference Array / Sweep Line,"Draw a blank line. Drop +V at the start of a query range and -V at the end. Sweep left-to-right to build the total ""reduction power"" at each index. If the power >= the original number everywhere, it works!",Strip / timeline / pointer canvas
3490,Count Beautiful Numbers,"Digit Dynamic Programming (State: index, tight, productMod, sum). O(digits · sum · prod)",Draw a grid where rows are digit positions and columns are current sums. Draw arrows for each digit (0-9) transitioning to a new sum.,Grid / board canvas
3491,Phone Number Prefix,Sorting + Adjacent Comparison OR Trie Insertion. O(N log N · L),"Draw a tree where each node is a digit (0-9). As you trace a number, circle the nodes. Mark ""Word Ends"" with a star.",Node-link canvas (tree/list/trie)
3492,Maximum Containers on a Ship,Direct Math (Division & Min). O(1),"Draw two boxes: ""Space Limit"" and ""Weight Limit."" Take the smallest number between them.",Strip / timeline / pointer canvas
3493,Properties Graph,Set-Based Adjacency List + DFS/BFS for Components. O(N^2 · M) (Optimized constant factor).,Draw the dots and edges. Circle each group of connected dots. Count the circles.,Graph / state-network canvas
3494,Find the Minimum Amount of Time to Brew Potions,Prefix Sums of Skill + Gap Analysis Formula. O(N · M),"Draw the potions as blocks. For each block, calculate the ""Safe Start Time"" by looking at the previous potion's finish time at every wizard.",Formula / invariant canvas
3495,Minimum Operations to Make Array Elements Zero,"Math + Prefix Sums of ""Division Counts"". O(Q log(Range)) or O(Q · 1).","Draw a number line. Mark intervals [4^0, 4^1-1], [4^1, 4^2-1], etc. Color each interval with its h(x) value. Use prefix sums to count elements in each ""color block"".",Strip / timeline / pointer canvas
3496,Maximize Score After Pair Deletions,Greedy (Complementary Minimum Tracking). O(N),"Draw the array. If N is odd, circle the smallest element. If N is even, circle the smallest adjacent pair sum. Everything else is ""eaten"" (summed).",Coordinate-plane canvas
3497,Analyze Subscription Conversion,SQL Common Table Expression (CTE) with Filtering and Grouping. O(N),"Draw three boxes: ""Activity Pool"" to ""Converted Users"" to ""Avg Metrics"". Use arrows to show the filtering and aggregation flow.",Relational table canvas
3498,Reverse Degree of a String,Single-Pass Simulation with ASCII Math. O(N),"Draw the string in boxes. Below each, write its string position. Below that, write its reverse-alpha value. Multiply and add.",Object / process canvas
3499,Maximize Active Section with Trade I,Greedy (Adjacent Zero-Segment Merging). O(N),"Draw segments like `00 | 111 | 0000`. Circle the 0-blocks. Connect any two with a ""bridge"" (trade). The bridge that covers the most 0s is the winner.",Coordinate-plane canvas
3500,Minimum Cost to Divide Array Into Subarrays,DP with Convex Hull Trick (CHT) or prefix sum optimization. O(N^2),"Draw a 2D DP grid. For each cell, draw a line. The ""best"" choice is the lowest intersection on a vertical scan-line.",Grid / board canvas
3501,Maximize Active Section with Trade II (Hard),Line Sweep Algorithm + DP with Segment Tree.,Draw a horizontal axis. Stack intervals vertically. Draw dashed vertical lines at start/end events.,Range / bit-state canvas
3502,Minimum Cost to Reach Every Position (Easy),"Greedy (Rightward free, Leftward paid).","Draw boxes for indices. Draw arched arrows jumping between boxes, labeling weights (0 or C).",Strip / timeline / pointer canvas
3503,Longest Palindrome After Substring Concatenation I (Med),String Hashing + Center Expansion.,Write the concatenated string. Draw a vertical line at the center. Draw symmetric arcs expanding outward.,Node-link canvas (tree/list/trie)
3504,Longest Palindrome After Substring Concatenation II (Hard),Manacher's Algorithm + Suffix Automaton / Hash.,"Write string with # delimiters. Below each char, write its palindrome radius. Draw boundary brackets [L, R].",Node-link canvas (tree/list/trie)
3505,Minimum Operations to Make Elements Within K Subarrays Equal (Hard),Sliding Window + Running Medians (Two Heaps).,"Draw two triangles (Heaps) balancing on a scale. Moving window: cross out old number, insert new.",Container canvas (stack/queue/heap)
3506,Find Time Required to Eliminate Bacterial Strains (Hard),Multi-source BFS + Priority Queue (Dijkstra Variant).,"Draw nodes. Draw concentric dashed circles outward from sources, labeling each ring with time +T.",Container canvas (stack/queue/heap)
3507,Minimum Pair Removal to Sort Array I (Easy),Dynamic Programming (LIS Variant).,Write array. Draw arrows backward from current element to smaller previous elements.,State-table / recurrence canvas
3508,Implement Router (Med),Trie (Prefix Tree) with Wildcard/Parameter Support.,"Draw circles for path segments (e.g., 'api', 'users'). Draw lines connecting parent to child paths.",Node-link canvas (tree/list/trie)
3509,Max Product of Subsequences With an Alternating Sum Equal to K (Hard),3D Dynamic Programming (Knapsack with Sign State).,"Draw two parallel rows of boxes (+ state, - state). Draw crisscrossing arrows to move between them.",State-table / recurrence canvas
3510,Minimum Pair Removal to Sort Array II (Hard),Segment Tree or Fenwick Tree (BIT) for O(N log N) LIS.,"Draw array of values at bottom, binary tree hierarchy bridging over them. Update path to root.",Range / bit-state canvas
3511,Make a Positive Array (Med),Greedy Accumulation / Prefix Sum tracking.,Draw an x-y axis. Plot a running sum line. Mark lowest negative peaks. Draw an upward arrow showing the greedy 'lift' needed.,Strip / timeline / pointer canvas
3512,Minimum Operations to Make Array Sum Divisible by K (Easy),Modular Arithmetic & Hash Map (Prefix Modulos).,Draw a circle with K tick marks. Plot running prefix sums on the clock. Draw chords between identical tick marks to find valid subarrays.,Lookup-table / bucket canvas
3513,Number of Unique XOR Triplets I (Med),Bitwise Prefix XOR & Frequency Counting.,"Draw an array. Underneath, draw a prefix XOR array. Draw brackets connecting matching prefix values which denote XOR sum of 0.",Lookup-table / bucket canvas
3514,Number of Unique XOR Triplets II (Med),Bit-by-Bit Counting / Mathematical Combinatorics.,"Write numbers in binary, stacked vertically. Draw vertical boxes around each column. Count (zeros * ones) to find contribution to total XOR.",Container canvas (stack/queue/heap)
3515,Shortest Path in a Weighted Tree (Hard),Lowest Common Ancestor (LCA) with Binary Lifting.,Draw a tree. Pick nodes U and V. Trace upward to their highest shared parent (LCA). Draw the mathematical equation next to the V-shape.,Range / bit-state canvas
3516,Find Closest Person (Easy),Binary Search (if sorted) or Single Pass Min-Tracker.,"Draw a sorted array. Draw brackets [L, R]. Draw an arrow at Mid. Cross out the half of the array that is further away.",Strip / timeline / pointer canvas
3517,Smallest Palindromic Rearrangement I (Med),Character Frequency Counting + Greedy Symmetric Placement.,Draw 26 buckets for a-z. Draw a blank template `[ _ _ (mid) _ _ ]`. Fill left side from bucket 'a' upwards. Mirror to right side.,Lookup-table / bucket canvas
3518,Smallest Palindromic Rearrangement II (Hard),Two-Pointer Greedy Swapping (Bubble Swaps for target positions).,"Write the string. Draw inward arrows from L and R. If L != R, draw a curved arrow jumping a matching character over to the left side.",Coordinate-plane canvas
3519,Count Numbers with Non-Decreasing Digits (Hard),Digit DP (Dynamic Programming) / Combinatorics.,"Draw a 10 x D grid (Rows 0-9, Cols = digit positions). Draw arrows connecting cells, only allowing arrows that go straight right or down-right.",Grid / board canvas
3520,Minimum Threshold for Inversion Pairs Count (Med),Binary Search on Answer + Fenwick Tree (BIT) / Merge Sort for Inversions.,"Draw a number line for thresholds. Pick Mid. Below it, draw an array splitting and merging, counting crisscrossing elements.",Range / bit-state canvas
3521,Find Product Recommendation Pairs (Med),Graph Traversal (BFS) / Collaborative Filtering with Inverted Index.,Draw two columns: Users (L) and Products (R). Draw a V-shaped path: User A -> Product 1 -> User B.,Graph / state-network canvas
3522,Calculate Score After Performing Instructions (Med),Prefix Sums on 2D Coordinates / Hash Map caching.,"Plot a start point. Instead of squiggly lines, draw one straight vector arrow pointing directly to the final coordinate.",Lookup-table / bucket canvas
3523,Make Array Non-decreasing (Med),Greedy Single-Pass / Max-Tracker.,Draw a bar chart. Draw a horizontal dashed line from the top of the highest bar seen. Shade the empty space to fill.,Strip / timeline / pointer canvas
3524,Find X Value of Array I (Med),Bitwise Evaluation / Prefix Counts.,"Write 32 blank slots `_ _ _ _`. For each slot, evaluate if a '1' or '0' is better using array bit counts. Fill left to right.",Strip / timeline / pointer canvas
3525,Find X Value of Array II (Hard),Binary Search on Answer + Sliding Window / Segment Tree.,"Draw a binary search tree of X values. For a node (guess), draw a sliding window `[L...R]` smoothly moving across the array.",Range / bit-state canvas
3526,Range XOR Queries with Subarray Reversals (Hard),Implicit Treap (Randomized Binary Search Tree) / Splay Tree with Lazy Propagation.,Draw a binary tree. Cut edges to isolate a subtree. Draw a circular arrow (reverse flag) on its root. Reattach the edges.,Node-link canvas (tree/list/trie)
3527,Find the Most Common Response (Med),Hash Map Counting + Single-Pass Max Tracking.,"Draw squares labeled with words. Add a tally mark inside each time you see the word. Keep a separate ""Winner"" box updated.",Lookup-table / bucket canvas
3528,Unit Conversion I (Med),Floyd-Warshall (Precomputation) or Weighted Disjoint Set Union (DSU).,"Draw a grid with units on X and Y axes. Point your finger to cell (A, B) to instantly get the multiplier value.",Relational table canvas
3529,Count Cells in Overlapping Horizontal and Vertical Substrings (Med),Line Sweep / Prefix Sums / 2D Difference Arrays.,Draw a grid. Lightly shade valid horizontal rows blue. Lightly shade valid vertical columns yellow. Count the green overlapping squares.,Grid / board canvas
3530,Maximum Profit from Valid Topological Order in DAG (Hard),Dynamic Programming with Bitmask (State Compression).,"Write binary states like `0011`. Draw arrows to next states like `0111` or `1011`, labeling the edges with the profit gained.",Range / bit-state canvas
3531,Count Covered Buildings (Med),Difference Array / Line Sweep.,Draw a number line. Mark +1 at start coordinates and -1 at end coordinates. Plot a staircase graph showing the running sum going up and down.,Graph / state-network canvas
3532,Path Existence Queries in a Graph I (Med),Disjoint Set Union (DSU) / Connected Components.,"Draw nodes as scattered dots. Draw circles around connected dots, merging circles as you add edges. Queries just check if two dots share a circle.",Relational table canvas
3533,Concatenated Divisibility (Hard),Modular Arithmetic + Hash Map (Digit Length Bins).,"Draw bins labeled by digit lengths (1-digit, 2-digit). Put `Y % K` values inside. For a given X, calculate its required complement and draw an arrow directly to the matching bin.",Lookup-table / bucket canvas
3534,Path Existence Queries in a Graph II (Hard),Offline Queries + DSU with Sorting.,"Draw two queues: Edges and Queries. Move a vertical ""threshold"" ruler to the right. As edges pass the ruler, drop them into a DSU bubble. As queries pass, answer them instantly.",Container canvas (stack/queue/heap)
3535,Unit Conversion II (Med),Graph Precomputation (Anchored Weights) / Component Ratios.,"Draw isolated groups of stars. The center is 1.0. Branch nodes have floating point values. A query draws a line between two nodes, instantly dividing their values if they share a star.",Node-link canvas (tree/list/trie)
3536,Maximum Product of Two Digits (Easy),Single Pass Max/Min Tracker (Greedy).,"Draw two boxes labeled 'Max1' and 'Max2'. Draw an arrow sweeping across the digits, bumping values down the podium if a larger one is found.",Formula / invariant canvas
3537,Fill a Special Grid (Med),Constructive Algorithm / Greedy Pattern Filling.,"Draw a blank grid. Instead of guessing, write a simple math formula next to the grid and fill cells diagonally in a predictable, repeating pattern.",Grid / board canvas
3538,Merge Operations for Minimum Travel Time (Hard),Disjoint Set Union (DSU) / Kruskal's Variant with DP.,"Draw nodes. Draw circles expanding and eating other nodes based on edge weights. Write a running ""min time"" counter inside each expanding bubble.",Relational table canvas
3539,Find Sum of Array Product of Magical Sequences (Hard),Dynamic Programming with Mathematical Contribution (Prefix Arrays).,"Draw a 1D DP array. Draw an arrow from `DP[i-1]` to `DP[i]`, writing the formula `(val * DP[i-1]) + val` on the arrow to show the math cascade.",State-table / recurrence canvas
3540,Minimum Time to Visit All Houses (Med),Sorting / 1D Greedy Sweep (Assuming 1D coordinate plane).,Draw dots on a number line. Draw one large arc from the leftmost dot directly to the rightmost dot. No zigzagging required.,Coordinate-plane canvas
3541,Find Most Frequent Vowel and Consonant (Easy),Single Pass with Hash Map/Frequency Array.,"Draw two small tables (5 rows for vowels, 21 for consonants). Mark tallies as you read left-to-right. Circle the winner in each table.",Lookup-table / bucket canvas
3542,Min Ops to Convert All Elements to Zero (Med),Greedy Selection + Difference Array / Sorting.,"Draw a bar chart. Draw a horizontal line at the lowest non-zero bar. ""Cut"" the top off and shift it down. Count the distinct bar heights.",Strip / timeline / pointer canvas
3543,Maximum Weighted K-Edge Path (Med),Dynamic Programming (Bellman-Ford variant).,Draw K columns of nodes. Draw arrows between column `i` and `i+1`. Label each node with the max weight found so far.,Node-link canvas (tree/list/trie)
3544,Subtree Inversion Sum (Hard),DFS + Fenwick Tree (BIT) / Merge Sort Tree.,"Draw a tree. Map nodes to an array based on visit order. For each node, query the BIT for its range [In, Out].",Range / bit-state canvas
3545,Min Deletions for At Most K Distinct Characters (Easy),Sliding Window (Two Pointers).,"Draw the string. Place a transparent ""window"" (two brackets). Slide it right, expanding and shrinking while keeping a tally in a map.",Lookup-table / bucket canvas
3546,Equal Sum Grid Partition I (Med),2D Prefix Sums (Inclusion-Exclusion).,Draw a grid with cumulative totals. Draw a single cut line. Subtract the sum of the left/top block from the total instantly.,Grid / board canvas
3547,Maximum Sum of Edge Values in a Graph (Hard),Greedy (Kruskal's) or Tree DP (if constrained).,Draw a list of edges sorted by weight. Draw nodes as dots. Connect nodes using the heaviest edges first until you hit a limit.,Node-link canvas (tree/list/trie)
3548,Equal Sum Grid Partition II (Hard),2D Prefix Sums + Hash Map / Binning.,"Draw a grid with horizontal splits. For one split, write the sums of the top and bottom halves. Search for a vertical line that bisects both.",Grid / board canvas
3549,Multiply Two Polynomials (Hard),Fast Fourier Transform (FFT) or Karatsuba.,Draw a 'Butterfly Diagram': pairs of values merging and splitting through layers.,Strip / timeline / pointer canvas
3550,Smallest Index With Digit Sum Equal to Index (Easy),Linear Scan with Mathematical Digit Extraction.,"Draw a table: `Index | Digits | Sum`. Write numbers 0, 1, 2... and stop as soon as the last two columns match.",Formula / invariant canvas
3551,Minimum Swaps to Sort by Digit Sum (Med),Cycle Decomposition (Permutation Graph).,Draw dots for indices. Draw an arrow from where a number is to where it should be. Count the closed loops.,Graph / state-network canvas
3552,Grid Teleportation Traversal (Med),Multi-Source BFS / Dijkstra with Coordinate Mapping.,"Draw a grid. Color the start cell. Draw ""lightning bolt"" lines for teleports and regular arrows for steps. Label each cell with min distance.",Grid / board canvas
3553,Min Weighted Subgraph With Required Paths II (Hard),Dijkstra's x3 (Steiner Tree on 3 Nodes variant).,"Draw three ""ripples"" (contour lines) starting from S1, S2, and Dest. Mark the point where the sum of distances to all three is smallest.",Node-link canvas (tree/list/trie)
3554,Find Category Recommendation Pairs (Hard),Inverted Index + Bitsets / Matrix Multiplication.,Draw two long binary strings (0101...). Draw a vertical line matching the 1s. Count how many times both strings have a 1 at the same position.,Grid / board canvas
3555,Smallest Subarray to Sort in Every Sliding Window (Med),Monotonic Deque / Two Pointers + Sliding Window Minimum.,"Draw a window moving right. Use a red pen to mark the first ""dip"" (arr[i] < arr[i-1]) and the last ""peak"" within the current window.",Container canvas (stack/queue/heap)
3556,Sum of Largest Prime Substrings (Med),Sieve of Eratosthenes + Rolling Hash / DP.,"Draw a number line. Below it, draw a ""Sieve"" grid with crossed-out composites. Use arrows to jump between prime-substring indices.",Grid / board canvas
3557,Find Max Number of Non Intersecting Substrings (Med),Greedy Interval Scheduling (Earliest Deadline First).,Draw horizontal bars representing substrings. Place a vertical line at the end of the first bar. Skip all bars that touch the line. Pick next.,Node-link canvas (tree/list/trie)
3558,Number of Ways to Assign Edge Weights I (Med),Dynamic Programming on Trees (Tree DP).,"Draw a tree. At each node, write a small table of ""Ways to sum to X"". Pass values upward from leaves to root.",Graph / state-network canvas
3559,Number of Ways to Assign Edge Weights II (Hard),DP + Generating Functions / Polynomial Interpolation or NTT.,"Draw two polynomials being merged into one large polynomial. Use a ""Fast Fourier"" box to speed up the multiplication.",Graph / state-network canvas
3560,Find Minimum Log Transportation Cost (Easy),Greedy / Single-Source Shortest Path (Dijkstra) or Prefix Min.,"Draw a sequence of points. Write the min-cost-to-reach below each point. For the next point, just pick `min(previous_costs) + current`.",Graph / state-network canvas
3561,Resulting String After Adjacent Removals (Med),Stack-based Single Pass.,"Draw a vertical bin. For ""abba"", push 'a', push 'b', 'b' matches top so pop 'b', 'a' matches top so pop 'a'.",Container canvas (stack/queue/heap)
3562,Max Profit from Trading Stocks with Discounts (Hard),3D Dynamic Programming.,"Draw a grid where rows are days and columns represent (stocks held, discounts left). Draw arrows showing profit flow.",Grid / board canvas
3563,Lexicographically Smallest String After Adjacent Removals (Hard),Greedy + Monotonic Stack + Frequency Counting.,"Draw a horizontal line. Place characters. If a 'smaller' char arrives, erase the 'larger' ones to its left if they appear again later.",Container canvas (stack/queue/heap)
3564,Seasonal Sales Analysis (Med),Hash Map Aggregation / SQL-style GroupBy.,Draw 4 large buckets labeled by season. Toss each sale record into its bucket. Divide sum by count at the end.,Relational table canvas
3565,Sequential Grid Path Cover (Med),BFS / Dijkstra on State Space (Grid + Bitmask).,"Draw a grid. Shade cells as they are visited. Show multiple ""ghost"" paths expanding until one covers the whole grid.",Range / bit-state canvas
3566,Partition Array into Two Equal Product Subsets (Med),Dynamic Programming (Knapsack on Log-Sums) / Prime Factorization.,"Draw a table of prime factor counts for each number. The goal is to split the counts of each prime (2s, 3s, 5s) exactly in half.",Graph / state-network canvas
3567,Minimum Absolute Difference in Sliding Submatrix (Med),Sliding Window + 2D Data Structure (Segment Tree/Fenwick Tree) or Sorted Set.,"Draw the submatrix. Use a side-list (sorted). For a new element X, draw arrows to the elements immediately above and below X in the sorted list.",Range / bit-state canvas
3568,Minimum Moves to Clean the Classroom (Med),BFS / Dijkstra on Grid State.,"Draw the grid. Shade the ""dirty"" cells. Draw a snake-like line passing through all shaded cells, labeling the number of steps.",Grid / board canvas
3569,Maximize Count of Distinct Primes After Split (Hard),Sieve of Eratosthenes + Prefix Prime Frequencies.,"Draw a table where columns are primes and rows are array indices. Fill with prefix counts. At any split, subtract Pref[i] from Pref[N].",Graph / state-network canvas
3570,Find Books with No Available Copies (Easy),Hash Map (Inventory Counter).,"Draw a two-column table (BookID, Copies). As you read the loan log, cross out a copy. Circle rows that reach zero.",Lookup-table / bucket canvas
3571,Find the Shortest Superstring II (Easy),Greedy Overlap Selection.,"Draw strings as rectangles. Shade the overlapping parts. Draw an arrow showing two rectangles ""snapping"" together into one.",Strip / timeline / pointer canvas
3572,Maximize Y‑Sum by Picking a Triplet of Distinct X‑Values (Med),Sorting + Greedy / Two-Pass Max Search.,"Draw a table of (X, Y) pairs. Group by X. Highlight the ""champion"" Y in each group. Sort the champions and circle the top three.",Relational table canvas
3573,Best Time to Buy and Sell Stock V (Med),One-Pass Greedy (Peak-Valley).,"Draw a line graph of prices. Draw vertical arrows between every point where the line goes ""up"". Sum the lengths of these arrows.",Graph / state-network canvas
3574,Maximize Subarray GCD Score (Hard),Sparse Table + Decreasing GCD Property.,"Draw an array. Below it, draw brackets showing ranges where the GCD remains constant. When the GCD changes, ""split"" the bracket.",Range / bit-state canvas
3575,Maximum Good Subtree Score (Hard),Tree Dynamic Programming (Bottom-Up).,"Draw a tree. Start at the leaves. Pass scores up to parents. At each node, draw a ""Decision Box"" choosing the best child branches to keep.",Node-link canvas (tree/list/trie)
3576,Transform Array to All Equal Elements (Med),Median-based Greedy.,Draw dots on a number line. Draw a central line (median). Draw arcs from every dot to that central line.,Strip / timeline / pointer canvas
3577,Count the Number of Computer Unlocking Permutations (Med),Dynamic Programming with Bitmask.,"Draw circles for keys. Shade keys in a ""mask"" (e.g., 1011). Draw a valid arrow to an unshaded key.",Range / bit-state canvas
3578,Count Partitions With Max-Min Difference at Most K (Med),DP + Monotonic Deque / Sliding Window.,"Draw a window moving right. Use a ruler to mark the furthest left point where the segment is still ""good."" Update DP sum.",Container canvas (stack/queue/heap)
3579,Minimum Steps to Convert String with Operations (Hard),Dijkstra / BFS + A* Search or Dynamic Programming.,"Draw a ""Cloud"" of strings. Highlight the shortest path of arrows connecting the Start string to the Target string.",Graph / state-network canvas
3580,Find Consistently Improving Employees (Med),Hash Map Grouping + Single Pass Validation.,"Draw buckets for each employee. Put review pairs (Date, Score) inside. Draw a green checkmark only if every score is > the previous.",Lookup-table / bucket canvas
3581,Count Odd Letters from Number (Easy),Mathematical Digit Extraction.,Write the number. Circle the last digit. Check parity. Scratch it out and write the remaining number below. Repeat.,Coordinate-plane canvas
3582,Generate Tag for Video Caption (Easy),Hash Set Lookup / Single Pass Tokenization.,"Draw the sentence. Draw a circle around ""important"" words. Transfer the circled words into a sorted ""Tags"" box.",Lookup-table / bucket canvas
3583,Count Special Triplets (Med),Prefix Sums / Frequency Mapping.,Draw an array. Point to element j. Draw a bracket to the left (elements < arr[j]) and a bracket to the right. Write their counts above.,Lookup-table / bucket canvas
3584,Max Product of First and Last Elements of a Subsequence (Med),Two-Pointer Greedy / Sorting.,Draw a sorted line. Draw an arc between the two largest numbers and an arc between the two smallest. Calculate both; pick max.,Coordinate-plane canvas
3585,Find Weighted Median Node in Tree (Hard),Tree Centroid Decomposition / Subtree Weight Sums.,Draw a tree with numbers in nodes. Calculate the total sum. Start at the root. Move to the child whose subtree weight is > W/2. Stop when no such child exists.,Node-link canvas (tree/list/trie)
3586,Find COVID Recovery Patients (Med),Hash Map Grouping + Sort & Sweep.,"Draw a folder for each patient. Put dated sticky notes inside. Flip through chronologically, marking the recovery window.",Lookup-table / bucket canvas
3587,Minimum Adjacent Swaps to Alternate Parity (Med),Greedy Positioning (Two-Target Comparison).,"Draw two blank arrays with 'E' and 'O' labels. Draw arrows from original Even elements to the 'E' slots. Count the ""jump"" lengths.",Formula / invariant canvas
3588,Find Maximum Area of a Triangle (Med),Convex Hull + Rotating Calipers.,"Draw a ""rubber band"" around the points (Convex Hull). Pick one base edge. Move the third point until area stops increasing. Rotate the base.",Graph / state-network canvas
3589,Count Prime-Gap Balanced Subarrays (Med),Sieve + Sliding Window / Prefix Sums.,"Draw the array. Below, write the gaps: 2, 4, 2... Use a sliding window to find ranges where the sum/count of gaps meets the criteria.",Graph / state-network canvas
3590,Kth Smallest Path XOR Sum (Hard),Meet-in-the-Middle + Binary Search / Trie.,"Draw a grid. Draw a diagonal line. Shade paths from Top-Left to Diagonal, and Bottom-Right to Diagonal. Compare at the meeting line.",Grid / board canvas
3591,Check if Any Element Has Prime Frequency (Easy),Hash Map + Sieve of Eratosthenes.,"Draw a tally table. Write counts. Check these counts against a ""Prime List"" (2, 3, 5, 7...). Circle any match.",Graph / state-network canvas
3592,Inverse Coin Change (Med),Dynamic Programming (Generating Functions Reconstruction).,"Draw a DP array. Start from the first index where DP[i] > 0. That's your first coin. ""Reverse-subtract"" its combinations from the rest of the array.",State-table / recurrence canvas
3593,Minimum Increments to Equalize Leaf Paths (Med),Bottom-Up Tree DP (Post-order Traversal).,"Draw a tree. Start at the leaves. Write the max path sum at each parent. Add the ""diff"" to the edges to make them match.",Graph / state-network canvas
3594,Minimum Time to Transport All Individuals (Hard),Binary Search on Answer + Greedy/Flow.,"Draw a timeline. For a fixed T, draw ""capacity boxes."" Try fitting individuals' travel intervals into these boxes greedily.",Strip / timeline / pointer canvas
3595,Once Twice (Med),Sliding Window + Frequency Map / Bitmask.,"Draw the string. Place two brackets. If a character appears a 3rd time, move the left bracket past its first occurrence.",Range / bit-state canvas
3596,Minimum Cost Path with Alternating Directions I (Med),State-Layered Dijkstra (BFS with 2-Layer States).,"Draw two stacked grids. Draw ""downward"" arrows from the top grid to the bottom grid, and ""upward"" arrows vice-versa. Label with costs.",Container canvas (stack/queue/heap)
3597,Partition String (Med),Greedy Single Pass with Hash Set.,"Draw a string. Move a finger letter-by-letter. Toss letters into a ""Current Part"" bin. If you see a duplicate, draw a vertical line and empty the bin.",Lookup-table / bucket canvas
3598,Longest Common Prefix Between Adjacent Strings After Removals (Med),Dynamic Programming / Monotonic Stack.,"Draw a bar chart where heights are LCPs between adjacent strings. Your goal is to remove ""dips"" (low bars) to keep the highest ""floor"" possible.",Container canvas (stack/queue/heap)
3599,Partition Array to Minimize XOR (Med),Prefix XOR + Target Search.,"Draw a line. Write ""Running XOR"" values below each element. Calculate (Value)  vs  (Total oplus Value) for each. Pick the closest pair.",Formula / invariant canvas
